แล้ว	lɛ́ːw
ไพน์	pʰaj
รถราง	rót raːŋ
ล่องเรือ	lɔ̂ːŋ rɯːa
ไฟกระชาก	faj kràʔ tɕʰâːk
สารละลาย	sǎːn láʔ laːj
เท่	tʰêʔ
โต๊ะกลม	tóʔ klom
ข้าวต้ม	kʰâːw tôm
ผู้แจ้งเบาะแส	pʰûː tɕɛ̂ːŋ bɔ̀ʔ sɛ̌ː
ยินยอม	jin jɔːm
เฟนเทอร์มีน	feːn tʰɤː miːn
ไมครอน	maj kʰrɔːn
เอ็น	ʔen
ต้า	tâː
ขึ้น ๆ ลง ๆ	kʰɯ̂n kʰɯ̂n loŋ loŋ
บุหลังคา	bùʔ lǎŋ kʰaː
สายรัด	sǎːj rát
ปรีแอมป์	priː ʔɛːm
เลือกได้	lɯ̂ːak dâj
อติพจน์	ʔà tìʔ pʰót
ร็อกกิ้ง	rɔ́k kîŋ
หักล้าง	hàk láːŋ
ท่าเรือ	tʰâː rɯːa
กลุ่มย่อย	klùm jɔ̂ːj
สภาวะสมดุล	sà pʰaː wáʔ sǒm dun
ปรุงแต่ง	pruŋ tɛ̀ŋ
กระถาง	kràʔ tʰǎːŋ
ผ้าใบ	pʰâː baj
เต็มรูปแบบ	tem rûːp bɛ̀ːp
หักล้าง	hàk láːŋ
ก๊อกน้ำ	kɔ́ːk náːm
ลูกโลก	lûːk lôːk
ศูนย์กลาง	sǔːn klaːŋ
ลดน้ำหนัก	lót nám nàk
ปัจจัยยังชีพ	pàt tɕaj jaŋ tɕʰîːp
ปฏิกิริยาตอบสนอง	pà tìʔ kìʔ ríʔ jâːt ʔòp sǒn ʔoŋ
เข้าใจผิด	kʰâw tɕaj pʰìt
เปโซ	peː soː
น่าระทึกใจ	nâː ráʔ tʰɯ́k tɕaj
ดอกไม้ป่า	dɔ̀ːk máj pàː
รอง	rɔːŋ
ลูกสะใภ้	lûːk sàʔ pʰáj
การผ่าตัด	kaːn pʰàː tàt
สามเกม	sǎːm keːm
ฉีด	tɕʰìːt
คู่มือการเล่น	kʰûː mɯː kaːn lên
เส้นเอ็น	sên ʔen
ปูด	pùːt
อย่างครอบคลุม	ʔà jâːŋ kʰrɔ̂ːp kʰlum
ทายาท	tʰaː jâːt
หมอนวด	mɔ̌ː nûːat
เสแสร้ง	sěː sɛ̂ːŋ
ช่างตีเหล็ก	tɕʰâŋ tiː lèk
พูดเกินจริง	pʰûːt kɤːn tɕiŋ
ย้อม	jɔ́ːm
ความเพียงพอ	kʰwaːm pʰiːaŋ pʰɔː
ศาลา	sǎː laː
ประดับด้วยลูกปัด	pràʔ dàp dûaj lûːk pàt
ระเบิด	ráʔ bɤ̀ːt
เอกสารแจก	ʔèːk sǎːn tɕɛ̀ːk
อย่างมีศิลปะ	ʔà jâːŋ miː sǐn pàʔ
ผู้มีอิทธิพล	pʰûː miː ʔìt tʰíʔ pʰon
น้ำสลัด	náːm sà làt
หัวหน่าว	hǔːa nàːw
ปฐมนิเทศ	pà tʰǒm níʔ tʰêːt
รับรอง	ráp rɔːŋ
ที่ได้มา	tʰîː dâj maː
ผงะ	pʰà ŋàʔ
ความนิ่ง	kʰwaːm nîŋ
โน้มน้าว	nóːm náːw
นิยามใหม่	níʔ jaːm màj
ขาด ๆ หาย ๆ	kʰàːt kʰàːt hǎːj hǎːj
การเชื่อมโยง	kaːn tɕʰɯ̂ːam joːŋ
ครุ่นคิด	kʰrûn kʰít
เดลี	deː liː
เดบิวต์	deː biw
ตู้หนังสือ	tûː nǎŋ sɯ̌ː
ความเสียหาย	kʰwaːm sǐːa hǎːj
อย่างบ้าระห่ำ	ʔà jâːŋ bâː ráʔ hàm
ตั้งหลัก	tâŋ làk
แลกได้	lɛ̂ːk dâj
กะพริบ	kàʔ pʰríp
ลงชื่อเข้าใช้	loŋ tɕʰɯ̂ː kʰâw tɕʰáj
ยกตัวอย่าง	jók tuːa jàːŋ
พนักงานบริการ	pʰá nák ŋaːn bɔː ríʔ kaːn
ไม่มีชื่อ	mâj miː tɕʰɯ̂ː
ไม่ควร	mâj kʰuːan
สามทาง	sǎːm tʰaːŋ
งีบหลับ	ŋîːp làp
ขับ	kʰàp
ตัดสิน	tàt sǐn
ปัดเป่า	pàt pàw
มัคนายก	mák kʰá naː jók
สอดคล้อง	sɔ̀ːt kʰlɔ́ːŋ
การอำนวยความสะดวก	kaːn ʔam nuaj kʰwaːm sàʔ dùːak
ฆ่า	kʰâː
คนเก็บขยะ	kʰon kèp kʰà jàʔ
จักรราศี	tɕàk kràʔ raː sǐː
น่ายกย่อง	nâː jók jɔ̂ːŋ
กำลังรีเซ็ต	kam laŋ riː sét
สิ่งที่น่ารังเกียจ	sìŋ tʰîː nâː raŋ kìːat
สีสัน	sǐː sǎn
การขับเคี่ยว	kaːn kʰàp kʰîːaw
เปรอะเปื้อน	prɤ̀ʔ pɯ̂ːan
อารมณ์ฉุนเฉียว	ʔaː rom tɕʰǔn tɕʰǐːaw
นักประสาทวิทยา	nák pràʔ sàːt wít jaː
กิลด์	kin
ปริศนา	prìt sà nǎː
เฉยเมย	tɕʰɤ̌ːj mɤːj
ภาคตะวันออกเฉียงเหนือ	pʰâːk tàʔ wan ʔɔ̀ːk tɕʰǐːaŋ nɯ̌ːa
อเล็กซ่า	ʔà lék sâː
ความชั่วร้าย	kʰwaːm tɕʰûːa ráːj
น้อยที่สุด	nɔ́ːj tʰîː sùt
โค้งคำนับ	kʰóːŋ kʰam náp
แคปช่า	kʰɛ̂ːp tɕʰâː
ผู้ขับขี่รถยนต์	pʰûː kʰàp kʰìː rót jon
วัว	wuːa
หลักฐาน	làk tʰǎːn
หุ่นยนต์	hùn jon
จำลอง	tɕam lɔːŋ
เบอร์ริโต	bɤː ríʔ toː
การผ่าตัด	kaːn pʰàː tàt
เป็นโรค	pen rôːk
พันธมิตร	pʰan tʰá mít
ความเป็นคู่	kʰwaːm pen kʰûː
แงะ	ŋɛ́ʔ
นักบัลเล่ต์	nák ban lêʔ
ปารีส	paː rîːt
ข่าวมรณกรรม	kʰàː wom ron kam
เป็นพยาน	pen pʰá jaːn
การทำลายล้าง	kaːn tʰam laːj láːŋ
เมีย	miːa
ซูม	suːm
คล่องแคล่ว	kʰlɔ̂ːŋ kʰlɛ̂ːw
ททท	tʰá tʰót
ต้อหิน	tɔ̂ː hǐn
เจ้าชู้	tɕâw tɕʰúː
ไร้มนุษยธรรม	ráj má nút jót rá rom
ดั้งเดิม	dâŋ dɤːm
เชื้อเพลิง	tɕʰɯ́ːa pʰlɤːŋ
ทำ	tʰam
ฮอลลีวู้ด	hɔːn liː wúːt
เป็นเพื่อน	pen pʰɯ̂ːan
โปรตอน	proː tɔːn
ซูร์	suː
สิทธิ	sìt tʰíʔ
หายไป	hǎːj paj
จัดตำแหน่ง	tɕàt tam nɛ̀ŋ
โดยไม่จำเป็น	doːj mâj tɕam pen
ของกระจุกกระจิก	kʰɔ̌ːŋ kràʔ tɕùk kràʔ tɕìk
ต่อรองได้	tɔ̀ː rɔːŋ dâj
บริกร	bɔ̀ʔ ríʔ kɔːn
วัสดุทนไฟ	wát dùʔ tʰon faj
นักสัจนิยม	nák sàt níʔ jom
เลื่อย	lɯ̂ːaj
ขยาย	kʰà jǎːj
ชาน	tɕʰaːn
ได้รับประโยชน์	dâj ráp pràʔ jôːt
ลัทธิ	lát tʰíʔ
พระมหากษัตริย์	pʰráʔ má hǎː kàʔ sàt
เหลือบมอง	lɯ̀ːap mɔːŋ
การตกไข่	kaːn tòk kʰàj
ความสงบ	kʰwaːm sà ŋòp
อย่างต่อเนื่อง	jàːŋ tɔ̀ː nɯ̂ːaŋ
ผู้ดูแลระบบ	pʰûː duː lɛː ráʔ bòp
ไอโซโทป	ʔaj soː tʰôːp
หลายแง่มุม	lǎːj ŋɛ̂ː mum
ขอบเขต	kʰɔ̀ːp kʰèːt
แรนซัมแวร์	rɛːn sam wɛː
อุบัติเหตุ	ʔùʔ bàt tìʔ hèːt
ลิปสติก	líp sà tìk
หนาม	nǎːm
แคทวอล์ก	kʰɛ̂ːt wɔ̂ːk
จัดเรียงใหม่	tɕàt riːaŋ màj
รถแฮทช์แบค	rót hɛ̂ːt bɛ̀ːk
ความระมัดระวัง	kʰwaːm ráʔ mát ráʔ waŋ
การเผยแพร่	kaːn pʰɤ̌ːj pʰrɛ̂ː
รัฐดำเนินการ	rát dam nɤːn kaːn
ผู้กำกับเส้น	pʰûː kam kàp sên
ปิด	pìt
โซน	soːn
ออฟเซ็ต	ʔɔ̀ːf sét
รุ่ง	rûŋ
นักบวช	nák bùːat
ราชทัณฑ์	râːt tɕʰá tʰan
เครื่องแบบ	kʰrɯ̂ːaŋ bɛ̀ːp
การเช่า	kaːn tɕʰâw
ลักษณะ	lák sàʔ nàʔ
กักตุน	kàk tun
ผู้เผยแพร่ศาสนา	pʰûː pʰɤ̌ːj pʰrɛ̂ː sàːt naː
ผู้ทำร้าย	pʰûː tʰam ráːj
นักมายากล	nák maː jaː kon
อิงจากพืช	ʔiŋ tɕàːk pʰɯ̂ːt
ความเป็นเจ้าโลก	kʰwaːm pen tɕâw lôːk
เรือใบ	rɯːa baj
ความเมื่อยล้า	kʰwaːm mɯ̂ːaj láː
ความรัก	kʰwaːm rák
อย่างแจ่มแจ้ง	ʔà jâːŋ tɕɛ̀m tɕɛ̂ːŋ
ผู้ให้	pʰûː hâj
โต้แย้ง	tôː jɛ́ːŋ
ที่พัก	tʰîː pʰák
รุนแรง	run rɛːŋ
ในบัดดล	naj bàt don
บริการตนเอง	bɔː ríʔ kaːn ton ʔeːŋ
ตีข่าว	tiː kʰàːw
อุตุนิยมวิทยา	ʔùʔ tùʔ níʔ jom wít tʰá jaː
ชื่นชม	tɕʰɯ̂ːn tɕʰom
การคาดเดา	kaːn kʰâːt daw
ลูกหิน	lûːk hǐn
ผู้สมัคร	pʰûː sà màk
เวทย์มนต์	wêːt mon
รวบรัด	rûːap rát
ไม่มีสายหนัง	mâj miː sǎːj nǎŋ
ความกล้า	kʰwaːm klâː
ตำแหน่งทางภูมิศาสตร์	tam nɛ̀ŋ tʰaːŋ pʰuː míʔ sàːt
เคมีไฟฟ้า	kʰeː miː faj fáː
ความไว	kʰwaːm waj
ดีเด่น	diː dèn
การเกี้ยวพาราสี	kaːn kîːaw pʰaː raː sǐː
แฉก	tɕʰɛ̀ːk
หน้าอก	nâː ʔòk
การตรึงกางเขน	kaːn trɯŋ kaːŋ kʰěːn
มิลลิเมตร	min líʔ mêːt
เปรียบเปรย	prìːap prɤːj
มหาอำนาจ	má hǎː ʔam nâːt
กลิ้งไป	klîŋ paj
แข็งขึ้น	kʰɛ̌ŋ kʰɯ̂n
หน้าอก	nâː ʔòk
หูฟัง	hǔː faŋ
การปลอม	kaːn plɔːm
มิเรอร์	míʔ rɤː
ก๊าซ	káːs
การสังหารหมู่	kaːn sǎŋ hǎːn mùː
ความเสื่อม	kʰwaːm sɯ̀ːam
สะระแหน่	sàʔ ráʔ nɛ̀ː
ยูโทเปีย	juː tʰoː piːa
พาเลโอ	pʰaː leː ʔoː
หมัน	mǎn
หลังคา	lǎŋ kʰaː
ไม่ตอบสนอง	mâj tɔ̀ːp sǒn ʔoŋ
สับ	sàp
นิติศาสตร์	níʔ tìʔ sàːt
ทิ้ง	tʰíŋ
โบนัส	boː nát
เตะออก	tèʔ ʔɔ̀ːk
ปรบมือ	pròp mɯː
ใจหาย	tɕaj hǎːj
จิตแพทย์	tɕìt tàʔ pʰɛ̂ːt
สะกดผิด	sàʔ kòt pʰìt
แป้ง	pɛ̂ːŋ
ปรับ	pràp
ท้าทาย	tʰáː tʰaːj
กระแทก	kràʔ tʰɛ̂ːk
ปั้น	pân
การแข่งขัน	kaːn kʰɛ̀ŋ kʰǎn
ปฏิบัติได้	pà tìʔ bàt dâj
อันตราย	ʔan tà raːj
ความผันผวน	kʰwaːm pʰǎn pʰǔːan
ตกต่ำ	tòk tàm
เร่าร้อน	râw rɔ́ːn
ลบ	lóp
สไตลิสต์	sà taj lít
ฉ้อโกง	tɕʰɔ̂ː koːŋ
ความระมัดระวัง	kʰwaːm ráʔ mát ráʔ waŋ
ที่ไม่มีใครเทียบ	tʰîː mâj miː kʰraj tʰîːap
ที่เกี่ยวกับสุขภาพ	tʰîː kìːaw kàp sùk pʰâːp
ตามตัวอักษร	taːm tuːa ʔàk sɔ̌ːn
มอร์ฟ	mɔ̂ːf
นั่งสมาธิ	nâŋ sà maː tʰíʔ
ยังคงอยู่	jaŋ kʰoŋ jùː
ผู้ใช้ตรวจสอบ	pʰûː tɕʰáj trùːat sɔ̀ːp
ไทโรซีน	tʰaj roː siːn
การหลบหลีก	kaːn lòp lìːk
เต็ม	tem
มาซาลา	maː saː laː
ขุนนาง	kʰǔn naːŋ
เกษียน	kà sǐːan
ผดุงครรภ์	pʰà duŋ kʰan
ประกบ	pràʔ kòp
สวดมนต์	sùːat mon
หายใจ	hǎːj tɕaj
ปราชัย	pàʔ raː tɕʰaj
ไร้ขอบเขต	ráj kʰɔ̀ːp kʰèːt
เข้าร่วมอีกครั้ง	kʰâw rûːam ʔìːk kʰráŋ
สงสัย	sǒŋ sǎj
หลอดเลือด	lɔ̀ːt lɯ̂ːat
พนักงานยกกระเป๋า	pʰá nák ŋaːn jók kràʔ pǎw
กระบอง	kràʔ bɔːŋ
หลอก	lɔ̀ːk
ชีเปลือย	tɕʰiː plɯːaj
เครื่องผสม	kʰrɯ̂ːaŋ pʰà sǒm
สนุกสนาน	sà nùk sà nǎːn
น้ำแตก	náːm tɛ̀ːk
กระบังหน้า	kràʔ baŋ nâː
จ้องมอง	tɕɔ̂ːŋ mɔːŋ
พลเมือง	pʰon lá mɯːaŋ
ใจแตก	tɕaj tɛ̀ːk
ฤดูร้อน	rɯ́ʔ duː rɔ́ːn
การจ่ายเงิน	kaːn tɕàːj ŋɤːn
วาน	waːn
ใสๆ	sǎj sǎj
เพียซ	pʰîːas
เชียงใหม่	tɕʰiːaŋ màj
ยอดมนุษย์	jɔː dom nút
อวตาร	ʔà wá taːn
อุจจาระ	ʔùt tɕaː ráʔ
หมอหัวใจ	mɔ̌ː hǔːa tɕaj
กำลังสอง	kam laŋ sɔ̌ːŋ
ถูกปล้น	tʰùːk plôn
การแบ่งพาร์ติชัน	kaːn bɛ̀ŋ pʰaː tìʔ tɕʰan
ใบปะหน้า	baj pàʔ nâː
บิสโทร	bìt tʰoːn
อย่างแท้จริง	jàːŋ tʰɛ́ː tɕiŋ
การกระจาย	kaːn kràʔ tɕaːj
เหล็กไหล	lèk lǎj
เน้น	nén
ยอมจำนน	jɔːm tɕam non
เวร่า	weː râː
บ้า	bâː
มนุษย์	má nút
ทรวงอก	suːaŋ ʔòk
หนี	nǐː
การกลั่น	kaːn klàn
สามเท่า	sǎːm tʰâw
เดซี่	deː sîː
อร่อย	ʔà rɔ̀ːj
ทาสีด้วยมือ	tʰaː sǐː dûaj mɯː
อย่างเหมาะสม	ʔà jâːŋ mɔ̀ʔ sǒm
เน้น	nén
ผู้สนใจรัก	pʰûː sǒn tɕaj rák
รีมิกซ์	riː mík
ริบหรี่	ríp rìː
ขนนก	kʰǒn nók
ความโง่เขลา	kʰwaːm ŋôː kʰlǎw
ญาติ	jâːt
ลิ่มเลือด	lîm lɯ̂ːat
ฉาว	tɕʰǎːw
กำลังเลิกทำ	kam laŋ lɤ̂ːk tʰam
แออัด	ʔɛː ʔàt
ไม่ได้ร่าง	mâj dâj râːŋ
มีสุขภาพดี	miː sùk kʰà pʰâːp diː
ผ้าโปร่ง	pʰâː pròːŋ
ไร้ยางอาย	ráj jaːŋ ʔaːj
หัวฉีด	hǔːa tɕʰìːt
สารให้ความหวาน	sǎːn hâj kʰwaːm wǎːn
ชื่อเสียง	tɕʰɯ̂ː sǐːaŋ
ชุดหูฟัง	tɕʰút hǔː faŋ
ใส่	sàj
คร่าวๆ	kʰrâːw kʰrâːw
หลายตัวแปร	lǎːj tuːa prɛː
ท่อระบายน้ำ	tʰɔ̂ː ráʔ baːj náːm
ใจง่าย	tɕaj ŋâːj
เล่นซอ	lên sɔː
กำลังซิงค์	kam laŋ siŋ
อย่างโง่เขลา	ʔà jâːŋ ŋôː kʰlǎw
ขับเสมหะ	kʰàp sěːm hàʔ
ผู้ใต้บังคับบัญชา	pʰûː tâj baŋ kʰáp ban tɕʰaː
ไม่ติด	mâj tìt
การเสด็จขึ้นสู่สวรรค์	kaːn sà dèt kʰɯ̂n sùːt wan
คัดค้าน	kʰát kʰáːn
ไม่เหมือนกัน	mâj mɯ̌ːan kan
กิ่งไม้	kìŋ máːj
อัจฉริยะ	ʔàt tɕʰà ríʔ jáʔ
ไม่ก่อผล	mâj kɔ̀ː pʰǒn
สิบโท	sìp tʰoː
มีความรู้	mîːk waːm rúː
ภาพตัดปะ	pʰâːp tàt pàʔ
สมควร	sǒm kʰuːan
ลดน้อยลง	lót nɔ́ːj loŋ
ผู้ประเมิน	pʰûːp ráʔ mɤːn
ถุงมือ	tʰǔŋ mɯː
ตรวจสอบ	trùːat sɔ̀ːp
รุ่นไลท์เวท	rûn laj wêːt
กระโจน	kràʔ tɕoːn
อุดมการณ์	ʔùʔ dom kaːn
ดินแดนมหัศจรรย์	din dɛː nom hàt tɕan
ฟู	fuː
กลุ่ม	klùm
ใบอนุญาต	baj ʔà núʔ jâːt
คนกลาง	kʰon klaːŋ
การขายปลีก	kaːn kʰǎːj plìːk
น่ากลัว	nâː kluːa
เกล็ด	klèt
ความทนทาน	kʰwaːm tʰon tʰaːn
การหล่อลื่น	kaːn lɔ̀ː lɯ̂ːn
ชื่อผู้ใช้	tɕʰɯ̂ː pʰûː tɕʰáj
เข้ารหัส	kʰâw rá hàt
ก่อนวัยเรียน	kɔ̀ːn waj riːan
โว้ว	wóːw
ความหลากหลาย	kʰwaːm làːk lǎːj
เปิดออก	pɤ̀ːt ʔɔ̀ːk
รับปาก	ráp pàːk
ความเชื่อ	kʰwaːm tɕʰɯ̂ːa
ญาดา	jaː daː
โรคระบบประสาท	rôːk ráʔ bòp pràʔ sàːt
โปรตีเอส	proː tiː ʔèːt
คริสต์มาส	kʰrít mâːt
โคลน	kʰloːn
เจ้าพ่อ	tɕâw pʰɔ̂ː
ออกจากตำแหน่ง	ʔɔ̀ːk tɕàːk tam nɛ̀ŋ
การแยกตัวออก	kaːn jɛ̂ːk tuːa ʔɔ̀ːk
เหยียบ	jìːap
แพน	pʰɛːn
ตกเป็นเหยื่อ	tòk pen jɯ̀ːa
คู่หมั้น	kʰûː mân
การเข้าสังคม	kaːn kʰâw sǎŋ kʰom
ผู้ออก	pʰûː ʔɔ̀ːk
นายกรัฐมนตรี	naː jók rát tʰà mon triː
การจับคู่	kaːn tɕàp kʰûː
ของที่ระลึก	kʰɔ̌ːŋ tʰîː ráʔ lɯ́k
การสังเคราะห์ด้วยแสง	kaːn sǎŋ kʰrɔ́ʔ dûaj sɛ̌ːŋ
ขวด	kʰùːat
ความซับซ้อน	kʰwaːm sáp sɔ́ːn
ในแนวทแยงมุม	naj nɛːw tʰá jɛːŋ mum
ผู้สำเร็จ	pʰûː sǎm rét
ขนมเมอร์แรง	kʰǒn má mɤː rɛːŋ
สละ	sà làʔ
ล่องลอย	lɔ̂ːŋ lɔːj
หยก	jòk
คราบ	kʰrâːp
การเดินทาง	kaːn dɤːn tʰaːŋ
ทำลาย	tʰam laːj
แลก	lɛ̂ːk
กำหนด	kam nòt
เครื่องสกัด	kʰrɯ̂ːa ŋót kàt
พหุภาคี	pʰá hùʔ pʰaː kʰiː
การหดตัว	kaːn hòt tuːa
กระต่าย	kràʔ tàːj
สังเคราะห์	sǎŋ kʰrɔ́ʔ
เต่า	tàw
บล็อกเชน	blɔ̀k tɕʰeːn
เปีย	piːa
อาการเบื่ออาหาร	ʔaː kaːn bɯ̀ːa ʔaː hǎːn
ริบ	ríp
มีผลกระทบ	miː pʰǒn kràʔ tʰóp
หมุน	mǔn
ภาวะขาดเลือด	pʰaː wáʔ kʰàːt lɯ̂ːat
การมีภรรยาหลายคน	kaːn mîːp rɔːn jaː lǎːj kʰon
ไส้ตะเกียง	sâj tàʔ kiːaŋ
ยับ	jáp
การเข้าไปยุ่ง	kaːn kʰâw paj jûŋ
วีเนียร์	wiː niːa
ผู้จัด	pʰûː tɕàt
ชิน	tɕʰin
ทางน้ำ	tʰaːŋ náːm
ชั้นหนังสือ	tɕʰán nǎŋ sɯ̌ː
ถูกสอดแนม	tʰùːk sɔ̀ːt nɛːm
นั่งร้าน	nâŋ ráːn
คาโนลา	kʰaː noː laː
ทำเอง	tʰam ʔeːŋ
ติดไฟ	tìt faj
ฮิปปี้	híp pîː
อย่างเคร่งครัด	jàːŋ kʰrêŋ kʰrát
ผู้บริหาร	pʰûː bɔː ríʔ hǎːn
ตะแกรง	tàʔ krɛːŋ
ไอบูโพรเฟน	ʔaj buː pʰroː feːn
ชื่นชม	tɕʰɯ̂ːn tɕʰom
พายุหิมะ	pʰaː júʔ hìʔ máʔ
กึ่งอัตโนมัติ	kɯ̀ŋ ʔàt tà noː mát
ชั่วคราว	tɕʰûːa kʰraːw
วิ่งขึ้น	wîŋ kʰɯ̂n
นุ่ม	nûm
อังคาร	ʔaŋ kʰaːn
กางเกง	kaːŋ keːŋ
การถ่ายเลือด	kaːn tʰàːj lɯ̂ːat
มากมาย	mâːk maːj
เตาเผา	taw pʰǎw
ติดใจ	tìt tɕaj
ความเสียสละ	kʰwaːm sìːat láʔ
หมอกควัน	mɔ̀ːk kʰwan
ต่อย	tɔ̀ːj
อุดมสมบูรณ์	ʔùʔ dom sǒm buːn
น่าอิจฉา	nâː ʔìt tɕʰǎː
ฟาวล์	faːw
ซูม	suːm
ผิวปาก	pʰǐw pàːk
ค้าน	kʰáːn
รังเกียจ	raŋ kìːat
หน่วยย่อย	nùaj jɔ̂ːj
หรูหรา	rǔː rǎː
ตัวกลม	tuːa klom
ตัดผม	tàt pʰǒm
บูชา	buː tɕʰaː
กวากาโมเล่	kwaː kaː moː lêʔ
ผู้นำเข้า	pʰûː nam kʰâw
เลเวอเรจ	leː wɤː rêːt
เปลี่ยนโฉมใหม่	plìːan tɕʰǒːm màj
ความคืบหน้า	kʰwaːm kʰɯ̂ːp nâː
ทำ	tʰam
เป็นอันหนึ่งอันเดียวกัน	pen ʔan nɯ̀ŋ ʔan diːaw kan
หนาวจัด	nǎːw tɕàt
ชั้นเชิง	tɕʰán tɕʰɤːŋ
โคโยตี้	kʰoː joː tîː
เสพติด	sèːp tìt
ไม่มีเหตุการณ์	mâj miː hěː tùʔ kaːn
ช้ำ	tɕʰám
เย็น	jen
ชอบใจ	tɕʰɔ̂ːp tɕaj
หมอน	mɔ̌ːn
แอสฟัลต์	ʔɛ̀ːt fan
ดวงดาว	duːaŋ daːw
หวาย	wǎːj
ดูแล	duː lɛː
ไม่เป็นมิตร	mâj pen mít
ฟันกราม	fan kraːm
อย่างถึงพริกถึงขิง	ʔà jâːŋ tʰɯ̌ŋ pʰrík tʰɯ̌ŋ kʰǐŋ
ผู้ร้าย	pʰûː ráːj
เกินกว่า	kɤːn kwàː
สำมะเลเทเมา	sǎm máʔ leː tʰeː maw
กัดกร่อน	kàt krɔ̀ːn
ผลไม้ชนิดหนึ่ง	pʰǒn máj tɕʰá nít nɯ̀ŋ
สะกดรอยตาม	sàʔ kòt rɔːj taːm
ราชรถ	râːt tɕʰá rót
หมู	mǔː
หิมะตก	hìʔ máʔ tòk
ถุง	tʰǔŋ
นักบวช	nák bùːat
ร่าง	râːŋ
การประกาศข่าวประเสริฐ	kaːn pràʔ kàːt kʰàːw pràʔ sěː rít
เอนไซม์	ʔeːn saj
ผู้อยู่ในความอุปการะ	pʰûː ʔà jûː naj kʰwaːm ʔùp kaː ráʔ
เกตเวย์	kèːt weː
จีโนไทป์	tɕiː noː tʰaj
ทำให้มึนเมา	tʰam hâj mɯn maw
คนธรรมดา	kʰon tʰam má daː
นักภาษาศาสตร์	nák pʰaː sǎː sàːt
เชียร์ลีดเดอร์	tɕʰiːa lîːt dɤː
ครบกำหนด	kʰróp kam nòt
กำหนดใหม่	kam nòt màj
ตัดหญ้า	tàt jâː
ไม่มีอันตราย	mâj miː ʔan traːj
ผู้เอนกาย	pʰûː ʔeːn kaːj
สิ่งอำนวยความสะดวก	sìŋ ʔam nuaj kʰwaːm sàʔ dùːak
เมทแอมเฟตามีน	mêːt ʔɛːm feː taː miːn
อีเลิร์นนิง	ʔiː lɤːn niŋ
แอบดู	ʔɛ̀ːp duː
โครงสร้าง	kʰroːŋ sâːŋ
น้ำท่วมทุ่ง	náːm tʰûːam tʰûŋ
นักปฏิรูป	nák pà tìʔ rûːp
สแกมเมอร์	sà kɛːm mɤː
จัดสรร	tɕàt sǎn
หลังเลิกเรียน	lǎŋ lɤ̂ːk riːan
แทน	tʰɛːn
กล้าหาญ	klâː hǎːn
ยาชา	jaː tɕʰaː
เสื่อม	sɯ̀ːam
ปล่อยอีกครั้ง	plɔ̀ːj ʔìːk kʰráŋ
คู่กัน	kʰûː kan
กระเป๋าเอกสาร	kràʔ pǎw ʔèːk kà sǎːn
มอเตอร์สปอร์ต	mɔː tɤ̀ːt pɔ̀ːd
แรง	rɛːŋ
ภัยพิบัติ	pʰaj pʰíʔ bàt
พอง	pʰɔːŋ
การโจมตีทางอากาศ	kaːn tɕoːm tiː tʰaːŋ ʔaː kàːt
นัดพบ	nát pʰóp
หยอกล้อ	jɔ̀ːk lɔ́ː
มนุษย์หมาป่า	má nút mǎː pàː
ยา	jaː
บุคคลสำคัญ	bùk kʰon sǎm kʰan
ให้คำปรึกษา	hâj kʰam prɯ̀k sǎː
ตื่นเต้น	tɯ̀ːn tên
ไส้เลื่อน	sâj lɯ̂ːan
ปราศจากกรด	pràːt tɕàːk kròt
ลดทอน	lót tʰɔːn
รอการขาย	rɔː kaːn kʰǎːj
หมวก	mùːak
สเกลาร์	sà klaw
ตามใจ	taːm tɕaj
ลูบคลำ	lûːp kʰlam
แย่ง	jɛ̂ːŋ
ผู้ที่ไม่ใช่ผู้เชี่ยวชาญ	pʰûː tʰîː mâj tɕʰâj pʰûː tɕʰîːaw tɕʰaːn
ความแตกต่าง	kʰwaːm tɛ̀ːk tàːŋ
ประกายไฟ	pràʔ kaːj faj
ความเคารพ	kʰwaːm kʰaw róp
ไฟร์วอลล์	faj wɔːn
ไม่บ่อยนัก	mâj bɔ̀ːj nák
ไมโครฟิล์ม	maj kʰroː fim
ติเตียน	tìʔ tiːan
รถยนต์	rót jon
ตัวเอก	tuːa ʔèːk
รถราง	rót raːŋ
จัด	tɕàt
สงบ	sà ŋòp
ภาพ	pʰâːp
บายพาส	baːj pʰáːt
เรือใบ	rɯːa baj
จั๊กจี้	tɕák kà tɕîː
ลูกหลาน	lûːk lǎːn
รื้อ	rɯ́ː
โอ้	ʔôː
ช่างสังเกต	tɕʰâːŋ sǎŋ kèːt
ว่องไว	wɔ̂ːŋ waj
การบรรยาย	kaːn ban jaːj
ตีความผิด	tìːk waːm pʰìt
ยก	jók
ระบาย	ráʔ baːj
ตรวจสอบความถูกต้อง	trùːat sɔ̀ːp kʰwaːm tʰùːk tɔ̂ːŋ
ซ้ำ	sám
ตัวคั่น	tuːa kʰân
ระงับกลิ่นกาย	ráʔ ŋáp klìn kaːj
เติบโต อย่าง รวดเร็ว	tɤ̀ːp toː ʔà jâːŋ rûːat rew
ประธาน	pràʔ tʰaːn
ปฏิบัติตาม	pà tìʔ bàt taːm
ตำแหน่ง	tam nɛ̀ŋ
หัวกะทิ	hǔːa kàʔ tʰíʔ
เสียง	sǐːaŋ
กระจุก	kràʔ tɕùk
ไม่ถูกรบกวน	mâj tʰùːk róp kuːan
